Ticker,Company,Price,P/E Ratio
GEV,GE Vernova Inc.,953.54,27.832458
CSX,CSX Corporation,45.585,27.966257
NDAQ,"Nasdaq, Inc.",92.91,27.984941
STLD,"Steel Dynamics, Inc.",261.95,28.0761
NTAP,"NetApp, Inc.",179.93,28.335432
CBOE,"Cboe Global Markets, Inc.",333.01,28.472223
ORLY,"O'Reilly Automotive, Inc.",87.76,28.58632
UNH,UnitedHealth Group Incorporated,380.595,28.680859
CBRE,"CBRE Group, Inc.",125.44,28.704807
MA,Mastercard Incorporated,496.77,28.748262
V,Visa Inc.,329.805,28.753704
LUV,Southwest Airlines Co.,43.165,28.776667
GOOG,Alphabet Inc.,378.8,28.84996
RSG,"Republic Services, Inc.",201.8435,28.958897
WYNN,"Wynn Resorts, Limited",101.58,29.106018
BLDR,"Builders FirstSource, Inc.",76.26,29.106873
TRMB,Trimble Inc.,55.68,29.151833
GOOGL,Alphabet Inc.,382.25,29.157133
SHW,The Sherwin-Williams Company,303.84,29.18732
EFX,Equifax Inc.,166.505,29.262743
APD,"Air Products and Chemicals, Inc.",279.66,29.437895
MMM,3M Company,153.34,29.488462
CMG,"Chipotle Mexican Grill, Inc.",32.145,29.490826
ALGN,"Align Technology, Inc.",176.2025,29.613867
ZBRA,Zebra Technologies Corporation,244.94,29.617895
BX,Blackstone Inc.,116.34,29.830767
CPT,Camden Property Trust,107.265,29.962292
CAH,"Cardinal Health, Inc.",197.2,30.060976
TJX,"The TJX Companies, Inc.",154.595,30.076849
AMT,American Tower Corporation,187.19,30.191936
SRE,Sempra,89.0,30.272108
BXP,"BXP, Inc.",60.455,30.379398
NKE,"NIKE, Inc.",46.292,30.455263
GM,General Motors Company,83.629,30.521532
COO,"The Cooper Companies, Inc.",61.56,30.626867
MDLZ,"Mondelez International, Inc.",61.91,30.648516
WM,"Waste Management, Inc.",211.855,30.703623
NXPI,NXP Semiconductors N.V.,322.22,30.775549
NDSN,Nordson Corporation,288.14,30.784191
ESS,"Essex Property Trust, Inc.",274.19,30.807867
DE,Deere & Company,545.4399,30.938168
INVH,Invitation Homes Inc.,29.41,30.957895
WDC,Western Digital Corporation,519.84,31.072329
AMZN,"Amazon.com, Inc.",269.745,31.15589
PH,Parker-Hannifin Corporation,845.015,31.15837
