Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
HSIC,161.0,325.0,287.0,395.0,158.0,,61.0,413.0,"Henry Schein, Inc.",Healthcare,Medical Distribution,8723745792,1090468449.0,8,11,97.8902953586498,A+ (Exceptional)
FRT,264.0,205.0,339.0,207.0,170.0,137.0,330.0,123.0,Federal Realty Investment Trust,Real Estate,REIT - Retail,10398048256,1155338892.3333333,9,12,97.67932489451476,A+ (Exceptional)
CPT,324.0,358.0,318.0,417.0,197.0,275.0,321.0,345.0,Camden Property Trust,Real Estate,REIT - Residential,10559092736,1173232810.1111112,9,13,97.46835443037975,A+ (Exceptional)
BXP,219.0,378.0,98.0,337.0,138.0,292.0,258.0,323.0,"BXP, Inc.",Real Estate,REIT - Office,10700468224,1188941140.7777777,9,14,97.25738396624473,A+ (Exceptional)
NCLH,57.0,48.0,,354.0,124.0,,408.0,309.0,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,8420080128,1202868775.4285715,7,15,97.0464135021097,A+ (Exceptional)
ERIE,259.0,103.0,130.0,139.0,211.0,90.0,331.0,111.0,Erie Indemnity Company,Financial Services,Insurance Brokers,11141402624,1237933777.5555556,9,16,96.83544303797468,A+ (Exceptional)
ALLE,214.0,67.0,93.0,69.0,214.0,337.0,179.0,113.0,Allegion plc,Industrials,Security & Protection Services,11177678848,1241964459.3333333,9,17,96.62447257383965,A+ (Exceptional)
PODD,258.0,259.0,236.0,70.0,301.0,,50.0,207.0,Insulet Corporation,Healthcare,Medical Devices,10039221248,1254902828.625,8,18,96.41350210970464,A+ (Exceptional)
TTD,138.0,229.0,61.0,231.0,229.0,,170.0,289.0,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,10135535616,1266942120.375,8,19,96.20253164556962,A+ (Exceptional)
PNR,73.0,140.0,124.0,62.0,128.0,78.0,121.0,150.0,Pentair plc,Industrials,Specialty Industrial Machinery,11448135680,1272015172.8888888,9,20,95.9915611814346,A+ (Exceptional)
RVTY,101.0,420.0,317.0,279.0,194.0,140.0,262.0,399.0,"Revvity, Inc.",Healthcare,Diagnostics & Research,11663575040,1295953016.8888888,9,21,95.78059071729957,A+ (Exceptional)
SWKS,216.0,392.0,248.0,239.0,169.0,284.0,93.0,397.0,"Skyworks Solutions, Inc.",Technology,Semiconductors,11709104128,1301011796.2222223,9,22,95.56962025316456,A+ (Exceptional)
AES,23.0,218.0,,391.0,38.0,191.0,157.0,351.0,The AES Corporation,Utilities,Utilities - Diversified,10462023680,1307753131.125,8,23,95.35864978902954,A+ (Exceptional)
GL,36.0,56.0,136.0,216.0,43.0,48.0,161.0,138.0,Globe Life Inc.,Financial Services,Insurance - Life,11898283008,1322031538.0,9,24,95.14767932489451,A+ (Exceptional)
HII,69.0,238.0,20.0,366.0,114.0,344.0,119.0,393.0,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,12143139840,1349237944.7777777,9,25,94.9367088607595,A+ (Exceptional)
AVY,209.0,75.0,233.0,223.0,217.0,152.0,429.0,249.0,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,12167325696,1351925275.8888888,9,26,94.72573839662446,A+ (Exceptional)
IT,176.0,10.0,173.0,186.0,429.0,,447.0,144.0,"Gartner, Inc.",Technology,Information Technology Services,10859595776,1357449667.625,8,27,94.51476793248945,A+ (Exceptional)
AIZ,97.0,85.0,16.0,351.0,57.0,236.0,186.0,346.0,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,12330919936,1370102367.7777777,9,28,94.30379746835443,A+ (Exceptional)
SWK,119.0,396.0,272.0,404.0,111.0,235.0,178.0,425.0,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,12346280960,1371809233.3333333,9,29,94.09282700421942,A+ (Exceptional)
MGM,286.0,372.0,42.0,359.0,322.0,,432.0,410.0,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,11173022720,1396628117.875,8,30,93.88185654008439,A+ (Exceptional)
MKC,55.0,19.0,117.0,310.0,22.0,44.0,57.0,136.0,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,12735101952,1415011412.4444444,9,31,93.67088607594937,A+ (Exceptional)
HRL,106.0,363.0,388.0,247.0,108.0,123.0,187.0,401.0,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,12783101952,1420344875.0,9,32,93.45991561181435,A+ (Exceptional)
GDDY,139.0,2.0,34.0,161.0,387.0,,382.0,80.0,GoDaddy Inc.,Technology,Software - Infrastructure,11364737024,1420592276.125,8,33,93.24894514767934,A+ (Exceptional)
EG,4.0,98.0,190.0,369.0,4.0,149.0,68.0,282.0,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,12822385664,1424709647.5555556,9,34,93.0379746835443,A+ (Exceptional)
APA,16.0,18.0,3.0,89.0,29.0,2.0,111.0,70.0,APA Corporation,Energy,Oil & Gas E&P,12876920832,1430769018.8888888,9,35,92.82700421940928,A+ (Exceptional)
ZBRA,122.0,332.0,218.0,343.0,224.0,,99.0,332.0,Zebra Technologies Corporation,Technology,Communication Equipment,11604923392,1450615632.75,8,36,92.61603375527426,A+ (Exceptional)
PSKY,171.0,,77.0,415.0,345.0,364.0,435.0,431.0,Paramount Skydance Corporation,Communication Services,Entertainment,11874426880,1484303639.75,8,37,92.40506329113924,A+ (Exceptional)
COO,132.0,386.0,134.0,317.0,107.0,,134.0,343.0,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,11942951936,1492869186.125,8,38,92.19409282700421,A+ (Exceptional)
PNW,154.0,253.0,,410.0,69.0,150.0,206.0,361.0,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,12087207936,1510901192.375,8,39,91.9831223628692,A+ (Exceptional)
UDR,329.0,287.0,265.0,380.0,208.0,123.0,353.0,179.0,"UDR, Inc.",Real Estate,REIT - Residential,13672028160,1519114476.0,9,40,91.77215189873418,A+ (Exceptional)
GPC,273.0,438.0,403.0,406.0,386.0,191.0,441.0,432.0,Genuine Parts Company,Consumer Cyclical,Auto Parts,13731351552,1525706058.0,9,41,91.56118143459916,A+ (Exceptional)
CLX,,5.0,37.0,224.0,,68.0,10.0,155.0,The Clorox Company,Consumer Defensive,Household & Personal Products,10885340160,1555048665.5714285,7,42,91.35021097046415,A+ (Exceptional)
ALGN,128.0,341.0,373.0,256.0,206.0,,100.0,312.0,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,12529591296,1566199126.5,8,43,91.13924050632912,A+ (Exceptional)
J,173.0,374.0,374.0,419.0,272.0,298.0,245.0,424.0,Jacobs Solutions Inc.,Industrials,Engineering & Construction,14153174016,1572575177.2222223,9,44,90.92827004219409,A+ (Exceptional)
NWSA,265.0,389.0,270.0,344.0,131.0,348.0,148.0,370.0,News Corporation,Communication Services,Entertainment,14241887232,1582432166.3333333,9,45,90.71729957805907,A+ (Exceptional)
REG,225.0,350.0,163.0,210.0,134.0,272.0,269.0,182.0,Regency Centers Corporation,Real Estate,REIT - Retail,14459419648,1606602383.6666667,9,46,90.50632911392404,A+ (Exceptional)
TYL,270.0,393.0,193.0,329.0,275.0,,135.0,317.0,"Tyler Technologies, Inc.",Technology,Software - Application,12883165184,1610395887.0,8,47,90.29535864978902,A+ (Exceptional)
BALL,61.0,125.0,44.0,299.0,100.0,188.0,396.0,349.0,Ball Corporation,Consumer Cyclical,Packaging & Containers,14555696128,1617299743.3333333,9,48,90.084388185654,A+ (Exceptional)
CSGP,124.0,440.0,244.0,381.0,396.0,,439.0,441.0,"CoStar Group, Inc.",Real Estate,Real Estate Services,13149053952,1643632052.125,8,49,89.87341772151899,A (Excellent)
TRMB,275.0,360.0,401.0,377.0,166.0,,80.0,327.0,Trimble Inc.,Technology,Scientific & Technical Instruments,13149820928,1643727864.25,8,50,89.66244725738397,A (Excellent)
TKO,303.0,416.0,18.0,313.0,343.0,321.0,339.0,360.0,"TKO Group Holdings, Inc.",Communication Services,Entertainment,15381866496,1709096545.4444444,9,51,89.45147679324894,A (Excellent)
MAA,364.0,398.0,311.0,368.0,234.0,122.0,333.0,253.0,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15401490432,1711276979.4444444,9,52,89.24050632911393,A (Excellent)
GEN,146.0,32.0,43.0,57.0,215.0,296.0,84.0,69.0,Gen Digital Inc.,Technology,Software - Infrastructure,15536770048,1726307887.7777777,9,53,89.0295358649789,A (Excellent)
