Ticker,Value_Ranker,Magic_Formula,FCF_Analyzer,Financial_Health,Graham_Calculator,Dividend_Aristocrats,Historical_Valuation,Earnings_Quality,Company,Sector,Industry,Market Cap,Average_Rank,Tools_Count,Composite_Score,Percentile,Investment_Grade
J,178.0,374.0,374.0,419.0,272.0,299.0,245.0,424.0,Jacobs Solutions Inc.,Industrials,Engineering & Construction,14522767360,1613641105.0,9,47,90.29535864978902,A+ (Exceptional)
CSGP,121.0,440.0,244.0,381.0,396.0,,439.0,441.0,"CoStar Group, Inc.",Real Estate,Real Estate Services,13330771968,1666346803.75,8,48,90.084388185654,A+ (Exceptional)
TRMB,281.0,360.0,401.0,377.0,166.0,,80.0,327.0,Trimble Inc.,Technology,Scientific & Technical Instruments,13361951744,1670244217.0,8,49,89.87341772151899,A (Excellent)
TYL,287.0,393.0,193.0,329.0,275.0,,135.0,317.0,"Tyler Technologies, Inc.",Technology,Software - Application,13438973952,1679871985.125,8,50,89.66244725738397,A (Excellent)
IEX,272.0,334.0,288.0,122.0,247.0,167.0,215.0,242.0,IDEX Corporation,Industrials,Specialty Industrial Machinery,15373667328,1708185468.3333333,9,51,89.45147679324894,A (Excellent)
MAA,366.0,398.0,311.0,368.0,234.0,128.0,333.0,253.0,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15517832192,1724203842.5555556,9,52,89.24050632911393,A (Excellent)
TXT,49.0,204.0,63.0,233.0,82.0,252.0,104.0,383.0,Textron Inc.,Industrials,Aerospace & Defense,15598710784,1733190239.3333333,9,53,89.0295358649789,A (Excellent)
TKO,310.0,416.0,18.0,313.0,343.0,320.0,339.0,360.0,"TKO Group Holdings, Inc.",Communication Services,Entertainment,15643503616,1738167337.2222223,9,54,88.81856540084388,A (Excellent)
NDSN,300.0,286.0,120.0,55.0,274.0,205.0,238.0,140.0,Nordson Corporation,Industrials,Specialty Industrial Machinery,15669613568,1741068354.0,9,55,88.60759493670886,A (Excellent)
ZBH,27.0,331.0,55.0,243.0,58.0,357.0,81.0,344.0,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,15960654848,1773406260.4444444,9,56,88.39662447257383,A (Excellent)
HST,134.0,146.0,281.0,104.0,85.0,341.0,256.0,236.0,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,15970499584,1774500129.6666667,9,57,88.18565400843882,A (Excellent)
BBY,128.0,16.0,195.0,325.0,189.0,263.0,427.0,338.0,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,16003352576,1778150495.2222223,9,58,87.9746835443038,A (Excellent)
KIM,223.0,365.0,104.0,282.0,104.0,258.0,218.0,213.0,Kimco Realty Corporation,Real Estate,REIT - Retail,16036988928,1781887855.0,9,59,87.76371308016877,A (Excellent)
APTV,124.0,405.0,132.0,250.0,155.0,,376.0,414.0,Aptiv PLC,Consumer Cyclical,Auto Parts,14335173632,1791896936.0,8,60,87.55274261603375,A (Excellent)
BEN,29.0,344.0,121.0,150.0,70.0,226.0,248.0,366.0,"Franklin Resources, Inc.",Financial Services,Asset Management,16139929600,1793325683.7777777,9,61,87.34177215189874,A (Excellent)
LDOS,154.0,21.0,40.0,184.0,89.0,332.0,53.0,237.0,"Leidos Holdings, Inc.",Technology,Information Technology Services,16163432448,1795937062.0,9,62,87.13080168776372,A (Excellent)
NWS,306.0,399.0,308.0,345.0,184.0,354.0,177.0,370.0,News Corporation,Communication Services,Entertainment,16389372928,1821041707.8888888,9,63,86.91983122362869,A (Excellent)
TSCO,141.0,14.0,167.0,232.0,223.0,178.0,436.0,298.0,Tractor Supply Company,Consumer Cyclical,Specialty Retail,16541140992,1837904742.3333333,9,64,86.70886075949366,A (Excellent)
GEN,170.0,32.0,43.0,57.0,215.0,300.0,84.0,69.0,Gen Digital Inc.,Technology,Software - Infrastructure,16557894656,1839766180.6666667,9,65,86.49789029535864,A (Excellent)
SOLV,43.0,8.0,,331.0,51.0,,32.0,267.0,Solventum Corporation,Healthcare,Medical Instruments & Supplies,13079886848,1868555368.5714285,7,66,86.28691983122363,A (Excellent)
LII,246.0,59.0,381.0,90.0,337.0,258.0,337.0,104.0,Lennox International Inc.,Industrials,Building Products & Equipment,17076344832,1897371849.3333333,9,67,86.07594936708861,A (Excellent)
DECK,162.0,28.0,90.0,42.0,233.0,,437.0,60.0,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,15432453120,1929056771.5,8,68,85.8649789029536,A (Excellent)
AMCR,59.0,368.0,291.0,378.0,120.0,273.0,368.0,404.0,Amcor plc,Consumer Cyclical,Packaging & Containers,17458171904,1939797129.4444444,9,69,85.65400843881856,A (Excellent)
